internal_subscriptions,,,,,billing_subscriptions,,,,
No,Columns,DQ Issue,Solution,DBT File Path,No,Columns,DQ Issue,Solution,DBT File Path
1,"user_id
plan
",Columns Name are not sync,"Using internal_subscriptions
columns name
as baseline
to standardize the column names
",data-dbt\rapsodo\models\staging\staging__internal_subscriptions.sql,1,"customer_id
plan_name
",Columns Name are not sync,"Action: rename_column

Follow internal_subscriptions 
columns name 
to rename the column for
standardization

customer_id -> user_id
plan_name -> plan
",data-dbt\rapsodo\models\staging\staging__billing_subscriptions.sql
2,last_updated,"Column names are unclear, 
making the underlying data types ambiguous.

Compare to start_date & end_date","Action:
change_column_name

last_updated ->
last_updated_timestamp",data-dbt\rapsodo\models\staging\staging__internal_subscriptions.sql,2,"current_period_start
current_period_end
canceled_at",Column names are unclear,"Action:
change_column_name

current_period_start -> 
current_period_start_timestamp

current_period_end ->
current_period_end_timestamp

canceled_at ->
canceled_at_timestamp",data-dbt\rapsodo\models\staging\staging__billing_subscriptions.sql
3,status,Different status vocabularies,"Action:
standardize_status

Create mapping table to standardize status for both tables",data-dbt\rapsodo\models\staging\staging__internal_subscriptions.sql,3,status,Different status vocabularies,"Action:
standardize_status

Create mapping table to standardize status for both tables",data-dbt\rapsodo\models\staging\staging__billing_subscriptions.sql
4,end_date,Contains null values,"Action:
fill_null_values

Fill back with '9999-12-31' 
to indicate null value

",data-dbt\rapsodo\models\staging\staging__internal_subscriptions.sql,4,plan_name,Different plan vocabularies,"Action:
standardize_plan

Create mapping table to standardize status for both tables",data-dbt\rapsodo\models\staging\staging__billing_subscriptions.sql
5,user_id,"Duplicated data
8 subscribers affected","Action:
detect_duplicates

Apply the window function
based on last_updated
timestamp to capture the
latest changes",data-dbt\rapsodo\models\staging\staging__internal_subscriptions.sql,5,canceled_at,Contains null values,"Action:
fill_null_values

Fill back with '9999-12-31' 
to indicate null value",data-dbt\rapsodo\models\staging\staging__billing_subscriptions.sql
